FLH_1,FLH_2,FLK_1,FLK_2,FLA_1,FLA_2,FRH_1,FRH_2,FRK_1,FRK_2,FRA_1,FRA_2,RLH_1,RLH_2,RLK_1,RLK_2,RLA_1,RLA_2,RRH_1,RRH_2,RRK_1,RRK_2,RRA_1,RRA_2,FS_1,FS_2,RS_1,RS_2,FLT,FRT,RLT,RRT
-1.040516795,0,-2.443412917,0,-1.063292206,0,-0.880540114,0,-2.372479955,0,-1.066603189,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.991567199,0,-1.747614104,0,0.10053761,0,0,0,0,0,1,1,1,1
-1.040516511,0,-2.443392678,0,-1.063330072,0,-0.875352599,0,-2.438204409,0,-1.10326081,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.98851381,0,-1.695469369,0,0.018758526,0,0,0,0,0,1,1,1,1
-1.040516435,0,-2.443387247,0,-1.063340235,0,-0.874724013,0,-2.432994773,0,-1.185736376,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.984890013,0,-1.642360278,0,-0.067019335,0,0,0,0,0,1,1,1,1
-1.040732203,0,-2.44706302,0,-0.876577953,0,-0.875260654,0,-2.438816747,0,-1.262226805,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.988156436,0,-1.689925173,0,-0.079812726,0,0,0,0,0,1,1,1,1
-1.03994899,0,-2.438277638,0,-0.693436042,0,-0.87207868,0,-2.508583534,0,-1.286841022,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.986016864,0,-1.757113188,0,-0.108040856,0,0,0,0,0,1,1,1,1
-1.037348658,0,-2.413877171,0,-0.519033913,0,-0.871411122,0,-2.497964812,0,-1.374291871,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.983467262,0,-1.81812959,0,-0.147091328,0,0,0,0,0,0,1,1,1
-1.032910682,0,-2.375164827,0,-0.346658407,0,-0.871352782,0,-2.495032214,0,-1.456575598,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.980851093,0,-1.878885534,0,-0.19345763,0,0,0,0,0,0,1,1,1
-1.026835161,0,-2.322556794,0,-0.172297417,0,-0.871363033,0,-2.494652301,0,-1.536144707,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.978143158,0,-1.939337436,0,-0.248053285,0,0,0,0,0,0,1,1,1
-1.019458767,0,-2.255739119,0,0.006230783,0,-0.871389926,0,-2.494319304,0,-1.614469576,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.975315131,0,-1.999134627,0,-0.310703294,0,0,0,0,0,0,1,1,1
-1.011271725,0,-2.174198038,0,0.190260383,0,-0.87161602,0,-2.492757077,0,-1.692273742,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.972353281,0,-2.057846745,0,-0.380996929,0,0,0,0,0,0,1,1,1
-1.002922628,0,-2.077568824,0,0.380099326,0,-0.872372639,0,-2.489364173,0,-1.769771945,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.969265195,0,-2.114990994,0,-0.458322789,0,0,0,0,0,0,1,1,1
-0.99900448,0,-2.013504038,0,0.40516976,0,-0.870482384,0,-2.501305377,0,-1.704263316,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.966089017,0,-2.170061094,0,-0.541874729,0,0,0,0,0,1,1,1,1
-0.996530737,0,-1.95837983,0,0.367432841,0,-0.868357046,0,-2.528536268,0,-1.614756536,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.968513939,0,-2.209736208,0,-0.625484776,0,0,0,0,0,1,1,1,1
-0.994525475,0,-1.905922043,0,0.309584207,0,-0.868575151,0,-2.569668158,0,-1.502367334,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.966005896,0,-2.268919038,0,-0.711198644,0,0,0,0,0,1,1,1,1
-0.992545394,0,-1.854309001,0,0.243100242,0,-0.872632455,0,-2.61958989,0,-1.374688169,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.967169891,0,-2.298308706,0,-0.822669576,0,0,0,0,0,1,1,1,1
-0.990336836,0,-1.802865124,0,0.170980623,0,-0.872815932,0,-2.621044269,0,-1.283944257,0,-1.028581877,0,-2.443263015,0,-1.062367633,0,-0.96549668,0,-2.355787255,0,-0.898669954,0,0,0,0,0,1,0,1,1
-0.987738712,0,-1.751144818,0,0.094111173,0,-0.86838843,0,-2.589822,0,-1.229782279,0,-1.018188048,0,-2.487660291,0,-1.046177954,0,-0.965475278,0,-2.372120894,0,-1.035564044,0,0,0,0,0,1,0,1,1
