FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
-1.075221066272242,0.0,-2.4470713802312973,0.0,-0.9725729463939201,0.0,-0.8620397238834716,0.0,-2.4786581696487233,0.0,-1.3371880203329072,0.0,-0.8620397238834716,0.0,-2.4786581696487233,0.0,-1.3371880203329072,0.0,-1.075221066272242,0.0,-2.4470713802312973,0.0,-0.9725729463939201,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0750717454915852,0.0,-2.4431726083557996,0.0,-0.9788600312017657,0.0,-0.8619838405417237,0.0,-2.4811522449342083,0.0,-1.5153237607864343,0.0,-0.8619838405417237,0.0,-2.4811522449342083,0.0,-1.5153237607864343,0.0,-1.0750717454915852,0.0,-2.4431726083557996,0.0,-0.9788600312017657,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0750417709568882,0.0,-2.442374190564801,0.0,-0.980220181521319,0.0,-0.8605469960380834,0.0,-2.6207214004455213,0.0,-1.5539828725765759,0.0,-0.8605469960380834,0.0,-2.6207214004455213,0.0,-1.5539828725765759,0.0,-1.0750417709568882,0.0,-2.442374190564801,0.0,-0.980220181521319,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.075035580369204,0.0,-2.4422086018957145,0.0,-0.9805051008940806,0.0,-0.8646815526368625,0.0,-2.586031394336799,0.0,-1.738445738698669,0.0,-0.8646815526368625,0.0,-2.586031394336799,0.0,-1.738445738698669,0.0,-1.075035580369204,0.0,-2.4422086018957145,0.0,-0.9805051008940806,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0750342942450999,0.0,-2.4421741699737747,0.0,-0.9805644659979684,0.0,-0.8734473994686294,0.0,-2.558798606450868,0.0,-1.9108569843275394,0.0,-0.8734473994686294,0.0,-2.558798606450868,0.0,-1.9108569843275394,0.0,-1.0750342942450999,0.0,-2.4421741699737747,0.0,-0.9805644659979684,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0750340267171943,0.0,-2.442167006453289,0.0,-0.9805768220096516,0.0,-0.8889782574122362,0.0,-2.534594188742006,0.0,-2.0680990650153763,0.0,-0.8889782574122362,0.0,-2.534594188742006,0.0,-2.0680990650153763,0.0,-1.0750340267171943,0.0,-2.442167006453289,0.0,-0.9805768220096516,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-1.0750339710541859,0.0,-2.4421655159239197,0.0,-0.9805793931757574,0.0,-0.9181558214570176,0.0,-2.5232406551479745,0.0,-2.18552833834314,0.0,-0.9181558214570176,0.0,-2.5232406551479745,0.0,-2.18552833834314,0.0,-1.0750339710541859,0.0,-2.4421655159239197,0.0,-0.9805793931757574,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.0750339594720826,0.0,-2.442165205778966,0.0,-0.9805799281861001,0.0,-1.0185078025603627,0.0,-2.5661546362085823,0.0,-2.2190997281083997,0.0,-1.0185078025603627,0.0,-2.5661546362085823,0.0,-2.2190997281083997,0.0,-1.0750339594720826,0.0,-2.442165205778966,0.0,-0.9805799281861001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.0750339570621055,0.0,-2.4421651412446055,0.0,-0.9805800395104347,0.0,-1.0276064542920906,0.0,-2.5704428968776374,0.0,-2.2170887858097164,0.0,-1.0276064542920906,0.0,-2.5704428968776374,0.0,-2.2170887858097164,0.0,-1.0750339570621055,0.0,-2.4421651412446055,0.0,-0.9805800395104347,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.0750339565606417,0.0,-2.4421651278164074,0.0,-0.9805800626746279,0.0,-1.0102865581139255,0.0,-2.5901938965278464,0.0,-2.191642018923842,0.0,-1.0102865581139255,0.0,-2.5901938965278464,0.0,-2.191642018923842,0.0,-1.0750339565606417,0.0,-2.4421651278164074,0.0,-0.9805800626746279,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.0750339564562976,0.0,-2.4421651250222904,0.0,-0.9805800674945937,0.0,-0.9535023291177058,0.0,-2.7189238714501545,0.0,-2.002338944056355,0.0,-0.9535023291177058,0.0,-2.7189238714501545,0.0,-2.002338944056355,0.0,-1.0750339564562976,0.0,-2.4421651250222904,0.0,-0.9805800674945937,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.075033956434586,0.0,-2.4421651244408955,0.0,-0.9805800684975248,0.0,-0.949479820836097,0.0,-2.87945677239118,0.0,-1.7181897072388974,0.0,-0.949479820836097,0.0,-2.87945677239118,0.0,-1.7181897072388974,0.0,-1.075033956434586,0.0,-2.4421651244408955,0.0,-0.9805800684975248,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.0750339564300688,0.0,-2.44216512431992,0.0,-0.980580068706213,0.0,-0.9574235692796771,0.0,-2.925533417993926,0.0,-1.383049701074487,0.0,-0.9574235692796771,0.0,-2.925533417993926,0.0,-1.383049701074487,0.0,-1.0750339564300688,0.0,-2.44216512431992,0.0,-0.980580068706213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.0750339564291291,0.0,-2.442165124294747,0.0,-0.980580068749636,0.0,-0.9399890299930895,0.0,-2.8389774098440124,0.0,-1.2558838333526392,0.0,-0.9399890299930895,0.0,-2.8389774098440124,0.0,-1.2558838333526392,0.0,-1.0750339564291291,0.0,-2.442165124294747,0.0,-0.980580068749636,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
