Front Left,Front Right,Back Left,Back Right
[-0.34906585 -1.55624605 -0.00177928         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.49260353 -1.57141247  0.01155138         inf],[-0.56602295 -2.03324649 -1.51825179         inf]
"((-0.11472602547777755, -0.14022825876352402), -1.4587162933275497)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.23134646506429501, -0.11865417439877508), -1.4870805429772869)","((-0.15770749791968952, -0.2256897051697322), -2.0640628823154454)"
[-0.34906585 -1.45871629 -0.21516183         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.47390254 -1.48708054 -0.12496396         inf],[-0.58291836 -2.06406288 -1.68418064         inf]
"((-0.11523302280483738, -0.14161346426133775), -1.3580314020155901)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.23348332418428458, -0.11439203349821296), -1.39927677562694)","((-0.1661644617808351, -0.2380206575529117), -2.13754428205665)"
[-0.35266359 -1.3580314  -0.4096657          inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.45556455 -1.39927678 -0.25616723         inf],[-0.61938951 -2.13754428 -1.71499703         inf]
"((-0.11694940291145245, -0.14619247610635494), -1.26029654049713)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.2353155117247724, -0.11057400210586801), -1.3105620855826183)","((-0.17659218590078318, -0.2520067177270606), -2.206251779318425)"
[-0.36459079 -1.26029654 -0.57383513         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.43927634 -1.31056209 -0.37946452         inf],[-0.66194285 -2.20625178 -1.78847843         inf]
"((-0.12365159793692387, -0.16267107998832847), -1.1158235198892017)","((0.20148691546307906, -0.164325965377277), -2.3638394017537987)","((0.23727245743453032, -0.10630983464844165), -1.1641428934484743)","((-0.189349081235971, -0.2675743012156897), -2.2715724659880605)"
[-0.40798305 -1.11582352 -0.77264241         inf],[-0.68416086 -2.3638394  -1.36296856         inf],[-0.42123081 -1.16414289 -0.55504223         inf],[-0.71103753 -2.27157247 -1.85718593         inf]
"((-0.1338376007688884, -0.18445893144360345), -1.1435472517759528)","((0.2009662532793594, -0.16496231400794656), -2.3993208921973173)","((0.23697547513326378, -0.10697020232459081), -1.1349840193027294)","((-0.20460014539814703, -0.2843218702477952), -2.333349740530841)"
[-0.46665318 -1.14354725 -0.81232603         inf],[-0.68732321 -2.39932089 -1.15547147         inf],[-0.42401571 -1.13498402 -0.73354959         inf],[-0.76629135 -2.33334974 -1.92250662         inf]
"((-0.13938981544661727, -0.19509047848722716), -1.1979561797778864)","((0.19940719869018475, -0.1668435468051827), -2.450829086837749)","((0.23543649129529856, -0.11031617545291719), -1.15057846668138)","((-0.22242205279695643, -0.30174572611148004), -2.391432260424602)"
[-0.49590796 -1.19795618 -0.7944814          inf],[-0.69672053 -2.45082909 -0.90101534         inf],[-0.43818096 -1.15057847 -0.78591817         inf],[-0.82709122 -2.39143226 -1.98428389         inf]
"((-0.14398892736239127, -0.2033620322464822), -1.2529818818714995)","((0.19839443104774773, -0.16804657012042964), -2.4759229258115525)","((0.23289572020935267, -0.11558366453857971), -1.2016919857058799)","((-0.2427988714493713, -0.3192923103870228), -2.4456331090129604)"
[-0.51899181 -1.25298188 -0.84889033         inf],[-0.70276887 -2.47592293 -0.65856359         inf],[-0.46067468 -1.20169199 -0.80151262         inf],[-0.89268949 -2.44563311 -2.04236641         inf]
"((-0.14781252410744156, -0.20991422492158215), -1.3158878877154274)","((0.19974923858213875, -0.16643389584413334), -2.4451033787326106)","((0.23068316985727266, -0.11993863074339599), -1.2541577736987168)","((-0.2656265816170527, -0.3364061544554319), -2.4957506089067074)"
[-0.53749511 -1.31588789 -0.90391603         inf],[-0.69466795 -2.44510338 -0.44918348         inf],[-0.47946259 -1.25415777 -0.85262614         inf],[-0.96229006 -2.49575061 -2.09656726         inf]
"((-0.15076884181117023, -0.21479664371234608), -1.3859551821832996)","((0.20340085801605823, -0.16195089057591297), -2.358700902724155)","((0.22872566116257995, -0.12363078874512076), -1.3114091027791437)","((-0.2907229194909697, -0.35256645270589315), -2.541596505032663)"
[-0.55141644 -1.38595518 -0.96682204         inf],[-0.67242898 -2.3587009  -0.24800105         inf],[-0.49553576 -1.3114091  -0.90509192         inf],[-1.03510935 -2.54159651 -2.14668476         inf]
"((-0.1528499149700141, -0.21814403146470351), -1.4628682461535378)","((0.2083488148461526, -0.15553382703516178), -2.223850106468242)","((0.22873091950355515, -0.12362105994958217), -1.5161384873334516)","((-0.3178411025875162, -0.36731204185742156), -2.583022125904936)"
[-0.56103003 -1.46286825 -1.03688933         inf],[-0.64126177 -2.22385011 -0.03846846         inf],[-0.49549322 -1.51613849 -0.82798367         inf],[-1.11041474 -2.58302213 -2.19253065         inf]
"((-0.152992186176593, -0.21837027532496198), -1.6593367625504278)","((0.21345516017342858, -0.14844828929743834), -2.045424553969597)","((0.22887553507676275, -0.12335310877041382), -1.7013148388067538)","((-0.3466854409560334, -0.38025602688866617), -2.6199379249994887)"
[-0.56168188 -1.65933676 -0.898013           inf],[-0.60766858 -2.04542455  0.18139232         inf],[-0.49432213 -1.70131484 -0.75765456         inf],[-1.18754494 -2.61993792 -2.23395628         inf]
"((-0.1514671370439974, -0.215927866288009), -1.6734726042102768)","((0.21768118315721546, -0.14217912117914788), -1.831506845030674)","((0.22886551838767952, -0.12337169243038992), -1.7146817394243383)","((-0.3769268609111792, -0.3910920638862719), -2.652325460861059)"
[-0.55465886 -1.6734726  -1.17302507         inf],[-0.57858856 -1.83150685  0.40797525         inf],[-0.49440332 -1.71468174 -0.8854489          inf],[-1.26591667 -2.65232546 -2.27087207         inf]
"((-0.1520106488465935, -0.2168027017447687), -1.8617773734616598)","((0.21863037736997074, -0.14071516652821825), -1.79304849651189)","((0.2290428309110784, -0.12304219442223531), -1.8967416128197687)","((-0.38291460411809886, -0.39292621453802046), -2.680347813026863)"
[-0.55717087 -1.86177737 -1.02933542         inf],[-0.57187799 -1.7930485   0.38691216         inf],[-0.49296418 -1.89674161 -0.84042646         inf],[-1.28119087 -2.68034781 -2.30325961         inf]
"((-0.15104425240205344, -0.21524378322812998), -1.8698150054182952)","((0.22062073422084924, -0.13757358624333887), -1.7227155176734579)","((0.2290303912455671, -0.12306534803063968), -1.9096742819485382)","((-0.3695625463890124, -0.38869791701973583), -2.710058552806389)"
[-0.5526973  -1.86981501 -1.31940478         inf],[-0.55757398 -1.72271552  0.22476097         inf],[-0.49306527 -1.90967428 -0.97685437         inf],[-1.24702928 -2.71005855 -2.32144498         inf]
"((-0.1529918374417472, -0.2183697211564488), -2.039165070380406)","((0.2229129860157612, -0.13382750339723543), -1.6458295917186874)","((0.22929299670944553, -0.12257537134352155), -2.079755306342845)","((-0.3450483377371396, -0.379591862876401), -2.7991095311893144)"
[-0.56168028 -2.03916507 -1.22010468         inf],[-0.54068239 -1.64582959  0.0844877          inf],[-0.49092714 -2.07975531 -0.96315038         inf],[-1.18323592 -2.79910953 -2.19080776         inf]
"((-0.1539478569271724, -0.2198815914866527), -2.033301966167401)","((0.22537142056695436, -0.12964460186075233), -1.5630834288854931)","((0.22929873277073964, -0.12256464069923649), -2.0833781357416417)","((-0.35014809318814744, -0.38163386383397874), -3.0686534090133604)"
[-0.56604316 -2.03330197 -1.51829974         inf],[-0.52202111 -1.56308343 -0.05170022         inf],[-0.49088035 -2.08337814 -1.11231553         inf],[-1.19663452 -3.06865341 -1.37900964         inf]
"((-0.15771263033164618, -0.22569748905452997), -2.064113229500741)","((0.22782892956470058, -0.12527561156666808), -1.4759996913747315)","((0.22955329965730226, -0.1220871926798417), -2.2380091060728873)","((-0.34425666463565163, -0.37926773325658497), -2.9572665466056387)"
[-0.5829411  -2.06411323 -1.68423612         inf],[-0.5027411  -1.47599969 -0.18399161         inf],[-0.48879929 -2.23800911 -1.12263447         inf],[-1.18114944 -2.95726655 -1.15981239         inf]
"((-0.16617088836547894, -0.23802967089274069), -2.1375923305305005)","((0.23010488551322414, -0.12104437889859247), -1.3865300694121965)","((0.2294718310480929, -0.12224025014468642), -2.2272053356323314)","((-0.33649879309366276, -0.37598850426598296), -2.7878513851985436)"
[-0.61941651 -2.13759233 -1.71504738         inf],[-0.48426196 -1.38653007 -0.31091855         inf],[-0.48946617 -2.22720534 -1.28350505         inf],[-1.16060648 -2.78785139 -1.02261051         inf]
"((-0.17660011291097666, -0.25201689036810004), -2.206297552075556)","((0.23300917541181443, -0.1153547752540236), -1.2382930541968324)","((0.22947245188506404, -0.12223908469003263), -2.227230815359307)","((-0.330337324939304, -0.37324867942331513), -2.6222180464052007)"
[-0.66197431 -2.20629755 -1.78852648         inf],[-0.45969212 -1.23829305 -0.4931803          inf],[-0.48946109 -2.22723082 -1.44191147         inf],[-1.14415954 -2.62221805 -0.90560575         inf]
"((-0.1893586551018127, -0.267585415970014), -2.2716158679044494)","((0.23404181956708076, -0.11324498529175593), -1.1210550078089563)","((0.22903308979272163, -0.12306032577560938), -2.3822314745087825)","((-0.32566218137501096, -0.371088028636172), -2.46332055234206)"
[-0.71107331 -2.27161587 -1.8572317          inf],[-0.45065767 -1.12105501 -0.63189631         inf],[-0.49304334 -2.38223147 -1.4326413          inf],[-1.1315978  -2.46332055 -0.83191224         inf]
"((-0.20461145232553768, -0.28433361725756573), -2.333390678393407)","((0.23370307581037453, -0.11394240806991197), -1.0974541863228113)","((0.22828280159432843, -0.12444662508981308), -2.358127066835913)","((-0.3255006618628232, -0.37101210356225206), -2.457372615527744)"
[-0.76633111 -2.33339068 -1.92255002         inf],[-0.45363973 -1.09745419 -0.74961049         inf],[-0.49910609 -2.35812707 -1.59894421         inf],[-1.1311625  -2.45737262 -0.80646324         inf]
"((-0.22243511511359293, -0.3017577417034989), -2.391470615751089)","((0.2311953329747979, -0.11894838380857611), -1.1380574742109033)","((0.2272209288826671, -0.1263750350255063), -2.3411386239996275)","((-0.3254888466151685, -0.37100654622835944), -2.4569352885626308)"
[-0.82713451 -2.39147062 -1.98432483         inf],[-0.47517468 -1.13805747 -0.74838834         inf],[-0.50757319 -2.34113862 -1.75767141         inf],[-1.13113065 -2.45693529 -0.80623888         inf]
"((-0.24281364871804667, -0.31930421343019527), -2.445668745446497)","((0.22869515494286996, -0.12368721076027508), -1.1866398990752387)","((0.22557369940197125, -0.12929232822603637), -2.326825067916404)","((-0.3254879566368368, -0.3710061276060187), -2.4569023344128964)"
[-0.89273577 -2.44566875 -2.04240477         inf],[-0.49578245 -1.1866399  -0.78899162         inf],[-0.52045874 -2.32682507 -1.90720555         inf],[-1.13112825 -2.45690233 -0.8062252          inf]
"((-0.2656429757212183, -0.3364175755979383), -2.495783389827059)","((0.22642387980531856, -0.12779760034486823), -1.239185056254672)","((0.22106491291743066, -0.13685870186732302), -2.34384000927705)","((-0.32548788945442203, -0.3710060960050764), -2.4568998467077017)"
[-0.96233879 -2.49578339 -2.0966029          inf],[-0.51384488 -1.23918506 -0.83757405         inf],[-0.55433691 -2.34384001 -1.97775922         inf],[-1.13112807 -2.45689985 -0.80622418         inf]
"((-0.29074078296692907, -0.35257705553071106), -2.541626312689499)","((0.2244214720458368, -0.13128214990919254), -1.2962890544956949)","((0.21291759854182232, -0.14921828383674499), -2.394766829858136)","((-0.32548788438214915, -0.3710060936192044), -2.4568996588855248)"
[-1.03516002 -2.54162631 -2.14671754         inf],[-0.52930243 -1.29628905 -0.89011921         inf],[-0.61128041 -2.39476683 -1.99477416         inf],[-1.13112806 -2.45689966 -0.80622411         inf]
"((-0.31786024894335624, -0.36732153637518156), -2.583048877182761)","((0.22440712891399303, -0.13130666583452083), -1.5032811481334631)","((0.2032192734454194, -0.16217868818163458), -2.443482779247391)","((-0.3254878839991877, -0.3710060934390687), -2.4568996447047717)"
[-1.11046687 -2.58304888 -2.19256046         inf],[-0.52941167 -1.50328115 -0.80740063         inf],[-0.67354942 -2.44348278 -2.04570098         inf],[-1.13112806 -2.45689964 -0.8062241          inf]
"((-0.3467056555630932, -0.38026417654527883), -2.619961582095267)","((0.22456208378220163, -0.1310414839941744), -1.6909761200873197)","((0.1846807092664818, -0.1830110259651839), -2.4905397885355876)","((-0.32548788397027395, -0.3710060934254684), -2.4568996436341104)"
[-1.1875981  -2.61996158 -2.23398303         inf],[-0.52823038 -1.69097612 -0.73332939         inf],[-0.78085721 -2.49053979 -2.14020283         inf],[-1.13112806 -2.45689964 -0.8062241          inf]
"((-0.37694791123192006, -0.3910986876094224), -2.652346037026944)","((0.22449578609744533, -0.1311550304963179), -1.7073371934753263)","((0.16410727513089357, -0.20166507444055157), -2.5325924857871045)","((-0.3254878839680909, -0.37100609342444163), -2.4568996435532746)"
[-1.26597049 -2.65234604 -2.27089573         inf],[-0.52873609 -1.70733719 -0.85745346         inf],[-0.88772037 -2.53259249 -2.18358059         inf],[-1.13112806 -2.45689964 -0.8062241          inf]
"((-0.3829383078305888, -0.3929332770667738), -2.6801748145536832)","((0.22469940302206007, -0.1308058801489055), -1.8914156125568624)","((0.16085524246111452, -0.20426842872254164), -2.56466628785433)","((-0.32548788396792616, -0.3710060934243641), -2.4568996435471715)"
[-1.28125119 -2.68017481 -2.30328019         inf],[-0.52718153 -1.89141561 -0.8109735          inf],[-0.90374251 -2.56466629 -2.18352664         inf],[-1.13112806 -2.45689964 -0.8062241          inf]
"((-0.3696069643929507, -0.38871281978496514), -2.7098398000497275)","((0.22462853914559944, -0.1309275349241477), -1.907575732118831)","((0.1650624755800429, -0.20088399427377918), -2.586638607051231)","((-0.32548788396791395, -0.37100609342435836), -2.4568996435467105)"
[-1.24714356 -2.7098398  -2.3213254          inf],[-0.52772302 -1.90757573 -0.94387284         inf],[-0.88297462 -2.58663861 -2.17809461         inf],[-1.13112806 -2.45689964 -0.8062241          inf]
"((-0.34510731641719283, -0.37961593298031676), -2.798806770865384)","((0.22496640809599688, -0.13034613622346228), -2.0788480403889604)","((0.17690235322148037, -0.19054017273190083), -2.7099045208369055)","((-0.32548788396791295, -0.3710060934243579), -2.456899643546676)"
[-1.18339129 -2.79880677 -2.1908156          inf],[-0.5251367  -2.07884804 -0.93162358         inf],[-0.82249665 -2.70990452 -1.99133284         inf],[-1.13112806 -2.45689964 -0.8062241          inf]
