Front Left,Front Right,Back Left,Back Right
"((-0.29378056364111116, -0.3543635761020342), -2.4434409391519534)","((0.16242421752503533, -0.2030230862768567), -2.0391695854726795)","((0.1341688612676197, -0.2227076933250179), -2.4432630195604066)","((-0.2847509752216035, -0.34895251443706377), -2.24614543123345)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.89603812 -2.03916959 -0.67792003         inf],[-1.02858188 -2.44326302 -1.06236763         inf],[-1.01808401 -2.24614543  0.17431746         inf]
"((-0.29378056364111116, -0.3543635761020342), -2.4434409391519507)","((0.16323128296756192, -0.20237477179916408), -2.1193585963796044)","((0.13416886136772976, -0.2227076932647072), -2.443263016972662)","((-0.280243711702721, -0.34613172890361144), -2.145423564719767)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.89205653 -2.1193586  -0.69745791         inf],[-1.02858188 -2.44326302 -1.06236763         inf],[-1.00511522 -2.14542356  0.39515951         inf]
"((-0.29378056364111116, -0.3543635761020342), -2.4434409391519503)","((0.16266093035343135, -0.2028334827797328), -2.1341815319876023)","((0.13416886141635223, -0.22270769323541492), -2.443263015715822)","((-0.2746318413588499, -0.34250429642662494), -2.028395903626495)"
[-1.04375978 -2.44344094 -1.05549731         inf],[-0.89487163 -2.13418153 -0.75664199         inf],[-1.02858188 -2.44326302 -1.06236763         inf],[-0.98881707 -2.0283959   0.62076474         inf]
"((-0.29277219583561, -0.3537748396667083), -2.4646708669611397)","((0.16357732804404573, -0.20209517003127675), -2.2108077397865626)","((0.13416886143996765, -0.22270769322118794), -2.443263015105388)","((-0.2726081634915921, -0.3411641140116197), -1.9623965613622474)"
[-1.04091184 -2.46467087 -1.02922374         inf],[-0.89034542 -2.21080774 -0.78388631         inf],[-1.02858188 -2.44326302 -1.06236763         inf],[-0.98289703 -1.96239656  0.67183075         inf]
"((-0.29266154633069114, -0.35371000216281673), -2.448811924073426)","((0.1631663467793311, -0.20242713078707378), -2.2221093615761527)","((0.13416886145143753, -0.222707693214278), -2.443263014808907)","((-0.27193938397314593, -0.34071741284743845), -1.9205452215558605)"
[-1.04059905 -2.44881192 -1.0534805          inf],[-0.89237736 -2.22210936 -0.84862935         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.98093546 -1.92054522  0.61640959         inf]
"((-0.2926396124867768, -0.35369714402347935), -2.4448226485354274)","((0.16416609660485712, -0.20161719352655597), -2.2952191324562348)","((0.1341688614570083, -0.2227076932109219), -2.4432630146649092)","((-0.2715966674593658, -0.34048776436802014), -1.8864877500011952)"
[-1.04053704 -2.44482265 -1.06067362         inf],[-0.88742865 -2.29521913 -0.88124597         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.97992926 -1.88648775  0.50529717         inf]
"((-0.29263423589878834, -0.35369399186121414), -2.443769703568187)","((0.1639402310462767, -0.20180089356713318), -2.3019585276438024)","((0.13416886145971404, -0.22270769320929187), -2.4432630145949714)","((-0.27121733433883055, -0.3402329964788388), -1.8488676378244024)"
[-1.04052183 -2.4437697  -1.06262592         inf],[-0.88854841 -2.30195853 -0.95186848         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.97881475 -1.84886764  0.37728118         inf]
"((-0.29263282871739543, -0.35369316684698743), -2.443488344815508)","((0.1649891521603414, -0.20094422029362208), -2.371451475232457)","((0.13416886146102827, -0.2227076932085001), -2.443263014561003)","((-0.270672531382237, -0.3398660208631762), -1.805697509775066)"
[-1.04051786 -2.44348834 -1.06315115         inf],[-0.88333957 -2.37145148 -0.98763536         inf],[-1.02858188 -2.44326301 -1.06236763         inf],[-0.97721262 -1.80569751  0.25485693         inf]
"((-0.2926324535954406, -0.3536929469160403), -2.443412916994424)","((0.16495326389540202, -0.2009736816855726), -2.3726630229922354)","((0.1341688614616666, -0.22270769320811556), -2.443263014544505)","((-0.26991515097826274, -0.3393537420607652), -1.7586056526491394)"
