Front Left,Front Right,Back Left,Back Right
"((-0.2525525745692465, -0.3269094242258728), -2.2152236269560746)","((0.20755700154558568, -0.15658892396783927), -1.7497401131523436)","((0.21032993888029863, -0.15284409314922787), -1.7607782637451344)","((-0.2531386231028502, -0.32735219656578346), -2.2126772030425688)"
[-0.92287499 -2.21522363  0.23157455         inf],[-0.64633549 -1.74974011 -0.6844681          inf],[-0.62841327 -1.76077826 -0.69864359         inf],[-0.92466647 -2.2126772   0.23611573         inf]
"((-0.2438096784885287, -0.32010391931972487), -2.057583338142435)","((0.20712565143771924, -0.1571590421086246), -1.7735099046690541)","((0.20996786599350406, -0.15334110750263263), -1.7829640995737313)","((-0.2444073946154871, -0.3205813782376585), -2.0544708563985665)"
[-0.89585124 -2.05758334  0.52746206         inf],[-0.64908515 -1.7735099  -0.76583585         inf],[-0.63077833 -1.7829641  -0.78230522         inf],[-0.89771711 -2.05447086  0.53213361         inf]
"((-0.22846927407937123, -0.30719873841052203), -1.9238793107577)","((0.20715282387772324, -0.1571232241251591), -1.9022842992515177)","((0.21001837664716205, -0.15327192003263607), -1.9104960717088293)","((-0.2290197923732074, -0.3076844602422104), -1.921107041394297)"
[-0.84695189 -1.92387931  0.73494347         inf],[-0.64891223 -1.9022843  -0.74648854         inf],[-0.63044885 -1.91049607 -0.76465162         inf],[-0.84874253 -1.92110704  0.73805595         inf]
"((-0.20817941180639182, -0.28799434769859034), -1.8104024645449845)","((0.20673327871701191, -0.1576748282729817), -1.9261754926217947)","((0.20967076510028365, -0.15374709838647913), -1.9327910375430237)","((-0.1828045368051766, -0.25978267480457856), -1.9150037957899215)"
[-0.77879919 -1.81040246  0.86864749         inf],[-0.65157772 -1.92617549 -0.83396399         inf],[-0.63271328 -1.93279104 -0.8542919          inf],[-0.68621864 -1.9150038   0.98540976         inf]
"((-0.20204980516759213, -0.28164815177687597), -1.727820231780921)","((0.20690854219148028, -0.15744476862759343), -2.0479037288362267)","((0.20984756928372536, -0.15350569261663258), -2.053662364161477)","((-0.17955849310887761, -0.2557679429900212), -1.8559159560750125)"
[-0.75727913 -1.72782023  0.98212434         inf],[-0.65046536 -2.04790373 -0.83529444         inf],[-0.63156241 -2.05366236 -0.8560446          inf],[-0.67362628 -1.85591596  0.84006757         inf]
"((-0.20136001714512386, -0.28091664358033197), -1.6866680634063895)","((0.20661609144909576, -0.1578283585237422), -2.066477042407014)","((0.20961647951944593, -0.1538211023035322), -2.0706286445778694)","((-0.17877758766068358, -0.2547865024111563), -1.8287397313133003)"
[-0.75482683 -1.68666806  0.93125741         inf],[-0.65232058 -2.06647704 -0.93280096         inf],[-0.63306628 -2.07062864 -0.95546133         inf],[-0.67056723 -1.82873973  0.66945338         inf]
"((-0.20127994877414634, -0.28083149929383516), -1.6781832465454452)","((0.2069482784749458, -0.1573925348809666), -2.178987453556987)","((0.20992535200205614, -0.15339930438829516), -2.1824897811695987)","((-0.17798727895322225, -0.25378693324135126), -1.7908704097703083)"
[-0.75454176 -1.67818325  0.71443989         inf],[-0.65021293 -2.17898745 -0.95198963         inf],[-0.63105553 -2.18248978 -0.97409705         inf],[-0.66745929 -1.79087041  0.4284326          inf]
"((-0.2008824825113497, -0.28040811459625586), -1.647137919010068)","((0.20682804597838386, -0.15755049792610473), -2.1889751974332325)","((0.2098443077117144, -0.15351015119851627), -2.1908283080777853)","((-0.17687860870721378, -0.25237386253139227), -1.7319273693190471)"
[-0.75312538 -1.64713792  0.43339496         inf],[-0.65097645 -2.1889752  -1.06033609         inf],[-0.63158366 -2.19082831 -1.08406488         inf],[-0.66307859 -1.73192737  0.21678248         inf]
"((-0.19996974262116834, -0.2794312878995336), -1.5921522895797553)","((0.20723315690444813, -0.1570172559925067), -2.29206709730893)","((0.21019926226994434, -0.1530237567868831), -2.2933449494601286)","((-0.17566749712963714, -0.2508155250016355), -1.6630462125488332)"
[-0.74986466 -1.59215229  0.20596307         inf],[-0.64840078 -2.2920671  -1.09106847         inf],[-0.62926774 -2.29334495 -1.11357683         inf],[-0.65826486 -1.66304621  0.03581986         inf]
"((-0.19872012227072844, -0.2780835041411755), -1.5265556758100054)","((0.2072361746918716, -0.15701327300289003), -2.291555067936346)","((0.21020641649271676, -0.15301392899109054), -2.2912050562458934)","((-0.1744846787962942, -0.2492785102283152), -1.587400910498057)"
[-0.74538184 -1.52655568  0.01023702         inf],[-0.64838157 -2.29155507 -1.20930919         inf],[-0.62922098 -2.29120506 -1.23307116         inf],[-0.65353449 -1.58740091 -0.1351692          inf]
"((-0.19729503552777028, -0.27653156146065155), -1.453627714338083)","((0.20727225335370864, -0.1569656427046251), -2.3004128615974944)","((0.21025597941934213, -0.15294581759045647), -2.2980766106304933)","((-0.17351256558836187, -0.24800394184630667), -1.5067871333934733)"
[-0.74024284 -1.45362771 -0.1740936          inf],[-0.64815175 -2.30041286 -1.32336905         inf],[-0.628897   -2.29807661 -1.34844149         inf],[-0.64962479 -1.50678713 -0.29955998         inf]
"((-0.1959448735314755, -0.2750463234951697), -1.376031049526576)","((0.20732107325276264, -0.156901155462038), -2.403607991987381)","((0.2102307893268932, -0.1529804406419051), -2.400734127858513)","((-0.17301131709407824, -0.24734267980162777), -1.4234504645954251)"
[-0.73534722 -1.37603105 -0.3483695          inf],[-0.64784066 -2.40360799 -1.34274553         inf],[-0.62906168 -2.40073413 -1.36591819         inf],[-0.64760096 -1.42345046 -0.45492722         inf]
"((-0.19595347116370504, -0.27505582761068714), -1.37758468946787)","((0.20718799734486276, -0.15707684029233954), -2.3926082516720673)","((0.21004035010661018, -0.15324180672092266), -2.3884302834686584)","((-0.17312477049550007, -0.24749259450816), -1.4146950652964119)"
[-0.73537848 -1.37758469 -0.529772           inf],[-0.64868834 -2.39260825 -1.46848566         inf],[-0.63030548 -2.38843028 -1.49216031         inf],[-0.64805951 -1.41469507 -0.65639226         inf]
